created: 2026-07-08 13:34:15.801807;
FINAL CYCLE:
Mon;Tue;Wed;Thu;Fri;Sat;Sun;WorkHours;Deviation;OnTarget;PresenceHours;class_2_presence_h;class_4_presence_h;class_5_presence_h;class_7_presence_h;class_10_presence_h;
CYCLE: 1:
[reserveShift](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[reserveShift](07:00-07:00);[reserveShift](07:00-07:00);[reserveShift](07:00-07:00);[nightweekend](16:15-07:00);52.0;+12.0;no;125.5;0.0;96.0;0.0;14.8;14.8;
[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00dayweekend](06:00-16:45);[nightweekend](16:15-07:00);44.0;+4.0;no;61.8;21.5;0.0;10.8;14.8;14.8;
[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);34.0;-6.0;no;47.0;32.2;0.0;0.0;14.8;0.0;
[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);44.0;+4.0;no;61.8;21.5;0.0;10.8;29.5;0.0;
[00day000week](06:00-16:45);[reserveShift](07:00-07:00);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);44.0;+4.0;no;75.0;21.5;24.0;0.0;14.8;14.8;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00dayweekend](06:00-16:45);[00dayweekend](06:00-16:45);44.0;+4.0;no;61.8;10.8;0.0;21.5;29.5;0.0;
CYCLE: 2:
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);38.0;-2.0;no;55.0;10.8;0.0;0.0;29.5;14.8;
[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);36.0;-4.0;no;51.0;21.5;0.0;0.0;14.8;14.8;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);34.0;-6.0;no;47.0;32.2;0.0;0.0;14.8;0.0;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);[00dayweekend](06:00-16:45);50.0;+10.0;no;68.5;32.2;0.0;21.5;14.8;0.0;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);44.0;+4.0;no;61.8;21.5;0.0;10.8;29.5;0.0;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);38.0;-2.0;no;55.0;10.8;0.0;0.0;29.5;14.8;
CYCLE: 3:
[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);44.0;+4.0;no;61.8;21.5;0.0;10.8;29.5;0.0;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);[nightweekend](16:15-07:00);52.0;+12.0;no;72.5;32.2;0.0;10.8;14.8;14.8;
[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);36.0;-4.0;no;51.0;21.5;0.0;0.0;14.8;14.8;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00dayweekend](06:00-16:45);[reserveShift](07:00-07:00);44.0;+4.0;no;75.0;10.8;24.0;10.8;29.5;0.0;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);46.0;+6.0;no;65.8;21.5;0.0;0.0;29.5;14.8;
[freeDay_:-)_](07:00-07:00);[00day000week](06:00-16:45);[reserveShift](07:00-07:00);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);42.0;+2.0;no;71.0;32.2;24.0;0.0;0.0;14.8;
