created: 2026-07-08 12:41:25.145239;
FINAL CYCLE:
Mon;Tue;Wed;Thu;Fri;Sat;Sun;WorkHours;Deviation;OnTarget;class_2_h;class_5_h;class_7_h;class_10_h;
CYCLE: 1:
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);40.0;+0.0;yes;53.8;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);20.0;-20.0;no;0.0;0.0;14.8;14.8;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);40.0;+0.0;yes;53.8;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);10.0;-30.0;no;0.0;0.0;14.8;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);10.0;-30.0;no;0.0;0.0;14.8;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);10.0;-30.0;no;0.0;0.0;0.0;14.8;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);40.0;+0.0;yes;53.8;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);10.0;-30.0;no;0.0;0.0;0.0;14.8;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[reserveShift](07:00-07:00);[00dayweekend](06:00-16:45);[00dayweekend](06:00-16:45);16.0;-24.0;no;0.0;21.5;0.0;0.0;
[reserveShift](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[reserveShift](07:00-07:00);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);30.0;-10.0;no;0.0;0.0;29.5;14.8;
[night000week](16:15-07:00);[reserveShift](07:00-07:00);[night000week](16:15-07:00);[reserveShift](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);40.0;+0.0;yes;0.0;0.0;44.2;14.8;
CYCLE: 2:
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);40.0;+0.0;yes;53.8;0.0;0.0;0.0;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);10.0;-30.0;no;0.0;0.0;14.8;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);10.0;-30.0;no;0.0;0.0;0.0;14.8;
[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);10.0;-30.0;no;0.0;0.0;14.8;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);40.0;+0.0;yes;53.8;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);10.0;-30.0;no;0.0;0.0;14.8;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);40.0;+0.0;yes;53.8;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);10.0;-30.0;no;0.0;0.0;14.8;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);[00dayweekend](06:00-16:45);16.0;-24.0;no;0.0;21.5;0.0;0.0;
[reserveShift](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);[freeDay_:-)_](07:00-07:00);30.0;-10.0;no;0.0;0.0;29.5;14.8;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[reserveShift](07:00-07:00);[nightweekend](16:15-07:00);40.0;+0.0;yes;0.0;0.0;44.2;14.8;
CYCLE: 3:
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);10.0;-30.0;no;0.0;0.0;14.8;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[00day000week](06:00-16:45);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);40.0;+0.0;yes;53.8;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);0.0;-40.0;no;0.0;0.0;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);20.0;-20.0;no;0.0;0.0;29.5;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[00dayweekend](06:00-16:45);[00dayweekend](06:00-16:45);16.0;-24.0;no;0.0;21.5;0.0;0.0;
[reserveShift](07:00-07:00);[freeDay_:-)_](07:00-07:00);[reserveShift](07:00-07:00);[reserveShift](07:00-07:00);[reserveShift](07:00-07:00);[00dayweekend](06:00-16:45);[00dayweekend](06:00-16:45);16.0;-24.0;no;0.0;21.5;0.0;0.0;
[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[freeDay_:-)_](07:00-07:00);[reserveShift](07:00-07:00);[00dayweekend](06:00-16:45);[00dayweekend](06:00-16:45);16.0;-24.0;no;0.0;21.5;0.0;0.0;
[reserveShift](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);[reserveShift](07:00-07:00);30.0;-10.0;no;0.0;0.0;29.5;14.8;
[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[night000week](16:15-07:00);[freeDay_:-)_](07:00-07:00);[nightweekend](16:15-07:00);40.0;+0.0;yes;0.0;0.0;44.2;14.8;
